Algorithm,Language,Scenario,Source,AUROC,AUPRC,ACC@thr,Precision@thr,Recall@thr,F1@thr,EER,TPR@FPR=0.01,Threshold,Threshold source,Samples n_test,Samples n_pos_test,Samples n_neg_test,Samples n_val,Samples n_pos_val,Samples n_neg_val,Selection EER,Selection thr@EER,Error
SIR,Swahili,CLSA,clsa,0.5444444444444445,0.5364077675195738,0.5366666666666666,0.5426356589147286,0.4666666666666667,0.5017921146953405,0.43666666666666665,0.0,0.04790045247703302,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.44999999999999996,0.028168758659651787,
SIR,Swahili,CLSA+Backtranslation,backtranslation,0.4663999999999999,0.4923626646683139,0.48333333333333334,0.47572815533980584,0.32666666666666666,0.38735177865612647,0.5166666666666666,0.006666666666666667,0.07137004818235125,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.41500000000000004,0.01733686657328355,
SIR,Swahili,Paraphrase,paraphrase,0.8842666666666665,0.9112192048369955,0.82,0.8478260869565217,0.78,0.8125,0.18333333333333332,0.49333333333333335,0.102796302,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.17000000000000004,0.0904269064,
Unigram,Amharic,CLSA,clsa,0.5548222222222222,0.5494873061812994,0.5366666666666666,0.526829268292683,0.72,0.6084507042253521,0.4766666666666667,0.0,1.6035674514745464,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.44999999999999996,4.245349044041859,
Unigram,Amharic,CLSA+Backtranslation,backtranslation,0.5908444444444445,0.6000924969974781,0.5433333333333333,0.7096774193548387,0.14666666666666667,0.2430939226519337,0.42333333333333334,0.02,1.5666989036012806,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.5,0.0,
Unigram,Amharic,Paraphrase,paraphrase,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074890000001,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053397,
Unigram,Chinese,CLSA,clsa,0.5549999999999999,0.5537823767042356,0.51,0.5062240663900415,0.8133333333333334,0.6240409207161125,0.4633333333333334,0.006666666666666667,-1.4985372985307104,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.51,-0.5547001962252291,
Unigram,Chinese,CLSA+Backtranslation,backtranslation,0.6081333333333333,0.6401817831339944,0.5666666666666667,0.5568181818181818,0.6533333333333333,0.6012269938650306,0.42000000000000004,0.06666666666666667,0.13483997249264842,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.395,0.15617376188860607,
Unigram,Chinese,Paraphrase,paraphrase,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074890000001,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053397,
Unigram,Hindi,CLSA,clsa,0.4169555555555555,0.46659999808920816,0.43333333333333335,0.4484536082474227,0.58,0.5058139534883721,0.5966666666666667,0.006666666666666667,-4.503024286273868,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.49,-4.005180976482571,
Unigram,Hindi,CLSA+Backtranslation,backtranslation,0.6074888888888887,0.5944492810561387,0.5833333333333334,0.5786163522012578,0.6133333333333333,0.5954692556634305,0.41333333333333333,0.02,-0.15249857033260467,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.405,0.0,
Unigram,Hindi,Paraphrase,paraphrase,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074890000001,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053397,
Unigram,Overall,Baseline,baseline,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074889580901,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053396986085,
